no_a,no_b,peso
"Delphi (Object Pascal,)",Q (kdb+),0.1289
"CommonLisp,",Go,0.1289
HCL (Terraform),Stata,0.1289
GAMS,Racket,0.1289
"COBOL,",Julia,0.1289
MQL5,Q (kdb+),0.1289
"CommonLisp,",HiveQL (Apache Hive),0.1288
"COBOL,",Erlang,0.1288
Groovy,PL/I,0.1288
Go,SAS,0.1288
R,VHDL,0.1288
HCL (Terraform),Lua,0.1288
"CommonLisp,",HCL (Terraform),0.1288
Clojure,Rexx,0.1288
HCL (Terraform),MATLAB,0.1287
C,HCL (Terraform),0.1287
HiveQL (Apache Hive),MATLAB,0.1287
Crystal,Prolog,0.1287
Smalltalk (Pharo),VHDL,0.1287
Scheme,VHDL,0.1287
Smalltalk (Pharo),Zig,0.1287
Ada 2022,Groovy,0.1287
Prolog,Zig,0.1287
C,Rexx,0.1287
ABAP,Elixir,0.1287
Prolog,Swift,0.1287
Prolog,VHDL,0.1287
Crystal,Scheme,0.1287
"CommonLisp,",GraphQL,0.1287
ABAP,Julia,0.1286
F#,Prolog,0.1286
GAMS,Ruby,0.1286
"Delphi (Object Pascal,)",Elixir,0.1286
C++,Nim,0.1286
PHP,Q (kdb+),0.1286
Elixir,MQL5,0.1286
Racket,VHDL,0.1286
C#,Q (kdb+),0.1286
C,HiveQL (Apache Hive),0.1286
Mojo,Objective-C,0.1286
"Delphi (Object Pascal,)",Julia,0.1285
Julia,MQL5,0.1285
ABAP,Erlang,0.1285
Go,Smalltalk (Pharo),0.1285
GraphQL,MATLAB,0.1285
HiveQL (Apache Hive),Smalltalk (Pharo),0.1285
Q (kdb+),VHDL,0.1285
Crystal,Q (kdb+),0.1285
Nim,Verilog,0.1285
Prolog,Scala,0.1285
Q (kdb+),Zig,0.1285
Elixir,GAMS,0.1285
HCL (Terraform),R,0.1285
Rexx,Smalltalk (Pharo),0.1285
Prolog,Rexx,0.1285
C,GraphQL,0.1285
Go,Prolog,0.1285
C,VBA,0.1284
CUDA C/C++,Q (kdb+),0.1284
C,Visual Basic .NET,0.1284
HCL (Terraform),Scheme,0.1284
Clojure,VBA,0.1284
Rexx,Scheme,0.1284
Go,Racket,0.1284
LabVIEW,Nim,0.1284
GAMS,Julia,0.1284
Apex,MATLAB,0.1284
MATLAB,"SQL,",0.1284
HiveQL (Apache Hive),Scheme,0.1284
Clojure,Visual Basic .NET,0.1284
Bash / Shell Script,MATLAB,0.1284
HiveQL (Apache Hive),Racket,0.1283
Q (kdb+),Rexx,0.1283
HCL (Terraform),Racket,0.1283
CFML (ColdFusion),GDScript,0.1283
Elixir,PHP,0.1283
VHDL,Wolfram Language,0.1283
GAMS,PowerShell,0.1283
GraphQL,Smalltalk (Pharo),0.1283
Go,Q (kdb+),0.1283
Erlang,GAMS,0.1283
OCaml,Python,0.1283
GraphQL,Scheme,0.1283
CFML (ColdFusion),Q (kdb+),0.1283
OCaml,Smalltalk (Pharo),0.1282
Julia,PHP,0.1282
Prolog,Visual Basic .NET,0.1282
AWK,NATURAL,0.1282
GraphQL,Racket,0.1282
Kotlin,SAS,0.1282
Crystal,Julia,0.1282
Prolog,VBA,0.1282
OCaml,Prolog,0.1282
Julia,VHDL,0.1282
HCL (Terraform),Ruby,0.1281
PowerShell,VHDL,0.1281
Bash / Shell Script,Q (kdb+),0.1281
HiveQL (Apache Hive),Ruby,0.1281
"CommonLisp,",LabVIEW,0.1281
Scheme,Visual Basic .NET,0.1281
Scheme,VBA,0.1281
JavaScript,Q (kdb+),0.1281
Rexx,Ruby,0.1281
Ada 2022,SAS,0.1281
Rexx,Wolfram Language,0.1281
Go,Julia,0.128
Elixir,Rexx,0.128
Julia,Rexx,0.128
GraphQL,Ruby,0.128
OCaml,Q (kdb+),0.128
"Fortran,",SAS,0.128
MATLAB,Verilog,0.128
Elixir,HCL (Terraform),0.128
CFML (ColdFusion),Elixir,0.128
Apex,Q (kdb+),0.128
CFML (ColdFusion),Julia,0.128
Ada 2022,Prolog,0.1279
F#,Forth,0.1279
Clojure,"Fortran,",0.1279
HCL (Terraform),Julia,0.1279
Elixir,JavaScript,0.1279
HCL (Terraform),PowerShell,0.1279
Kotlin,Prolog,0.1279
PL/I,Prolog,0.1279
HiveQL (Apache Hive),Julia,0.1279
Q (kdb+),Solidity,0.1279
C,"Fortran,",0.1279
R,Verilog,0.1279
Ruby,"SQL,",0.1279
LabVIEW,MATLAB,0.1279
Erlang,Rexx,0.1279
Bash / Shell Script,Julia,0.1278
Perl,Prolog,0.1278
Apex,Elixir,0.1278
Bash / Shell Script,Elixir,0.1278
HiveQL (Apache Hive),PowerShell,0.1278
PL/I,Q (kdb+),0.1278
Erlang,HCL (Terraform),0.1278
Elixir,Visual Basic .NET,0.1278
GraphQL,Julia,0.1278
Q (kdb+),Verilog,0.1277
Apex,Julia,0.1277
LabVIEW,Scheme,0.1277
Erlang,GraphQL,0.1277
Julia,Visual Basic .NET,0.1277
"Fortran,",Scheme,0.1277
Julia,OCaml,0.1277
Julia,"SQL,",0.1277
Ada 2022,Q (kdb+),0.1277
Java,Q (kdb+),0.1277
"Fortran,",Prolog,0.1277
Julia,VBA,0.1277
GraphQL,PowerShell,0.1277
Q (kdb+),Rust,0.1276
Ruby,Verilog,0.1276
Erlang,Visual Basic .NET,0.1276
"Fortran,",Q (kdb+),0.1276
LabVIEW,Racket,0.1276
Forth,Q (kdb+),0.1276
AWK,Q (kdb+),0.1275
LabVIEW,Wolfram Language,0.1275
LabVIEW,Ruby,0.1275
Dart,Q (kdb+),0.1275
Forth,Mojo,0.1275
Elixir,"Fortran,",0.1274
Julia,Verilog,0.1274
Julia,NATURAL,0.1274
Ada 2022,Erlang,0.1274
D,JavaScript,0.1274
Julia,LabVIEW,0.1273
AWK,Elixir,0.1273
Erlang,LabVIEW,0.1273
Dart,Perl,0.1272
AWK,Julia,0.1272
Erlang,"Fortran,",0.1272
Julia,X++,0.1269
APL,Go,0.125
Q (kdb+),TypeScript,0.125
"Transact-SQL, (T-SQL,)",Wolfram Language,0.125
C,"PL/SQL,",0.125
C,"PL/pgSQL,",0.125
APL,Crystal,0.125
APL,MQL5,0.125
ABAP,APL,0.125
Q (kdb+),RPG,0.125
APL,PHP,0.125
APL,OpenCL,0.125
APL,"PL/SQL,",0.125
APL,PL/I,0.125
Q (kdb+),SystemVerilog,0.125
SAS,SystemVerilog,0.125
Prolog,SystemVerilog,0.125
Prolog,"Transact-SQL, (T-SQL,)",0.125
Objective-C,"PL/SQL,",0.125
Objective-C,"PL/pgSQL,",0.125
APL,Rexx,0.125
"PL/SQL,",Prolog,0.125
Q (kdb+),"Transact-SQL, (T-SQL,)",0.125
Python,"Transact-SQL, (T-SQL,)",0.125
APL,Solidity,0.125
APL,SystemVerilog,0.125
APL,"Transact-SQL, (T-SQL,)",0.125
"PL/SQL,",Python,0.125
C,"Transact-SQL, (T-SQL,)",0.125
APL,"Delphi (Object Pascal,)",0.125
APL,CUDA C/C++,0.125
"PL/SQL,",Q (kdb+),0.125
Elixir,"PL/SQL,",0.125
APL,OCaml,0.125
APL,HCL (Terraform),0.125
APL,Haxe,0.125
APL,JavaScript,0.125
SAS,TypeScript,0.125
"PL/SQL,",Scheme,0.125
Elixir,"Transact-SQL, (T-SQL,)",0.125
APL,AWK,0.125
APL,VBA,0.125
APL,Bash / Shell Script,0.125
APL,CFML (ColdFusion),0.125
Prolog,TypeScript,0.125
"PL/SQL,",Smalltalk (Pharo),0.125
Scheme,SystemVerilog,0.125
MATLAB,SystemVerilog,0.125
Clojure,"PL/SQL,",0.125
Julia,RPG,0.125
"PL/SQL,",Wolfram Language,0.125
Assembly (x86),"PL/pgSQL,",0.125
Assembly (x86),"PL/SQL,",0.125
"PL/pgSQL,",Smalltalk (Pharo),0.125
Groovy,"PL/pgSQL,",0.125
"PL/pgSQL,",PowerShell,0.125
"PL/pgSQL,",Scheme,0.125
Scheme,"Transact-SQL, (T-SQL,)",0.125
APL,VHDL,0.125
APL,Verilog,0.125
Objective-C,"Transact-SQL, (T-SQL,)",0.125
APL,Visual Basic .NET,0.125
Apex,APL,0.125
Ruby,"Transact-SQL, (T-SQL,)",0.125
Julia,OpenCL,0.125
RPG,Ruby,0.125
Stata,SystemVerilog,0.125
Erlang,"Transact-SQL, (T-SQL,)",0.125
Smalltalk (Pharo),"Transact-SQL, (T-SQL,)",0.125
OpenCL,Q (kdb+),0.125
Julia,"PL/pgSQL,",0.125
Julia,"PL/SQL,",0.125
Julia,SystemVerilog,0.125
Julia,"Transact-SQL, (T-SQL,)",0.125
Python,RPG,0.125
Assembly (x86),TypeScript,0.125
Assembly (x86),"Transact-SQL, (T-SQL,)",0.125
Erlang,"PL/SQL,",0.125
Erlang,"PL/pgSQL,",0.125
Ada 2022,APL,0.125
C++,Tcl,0.1236
C#,PHP,0.1228
Perl,Scala,0.1211
Bash / Shell Script,OpenCL,0.1159
Bash / Shell Script,D,0.1158
CFML (ColdFusion),TypeScript,0.1154
Go,Tcl,0.1131
Erlang,Objective-C,0.111
C,Mojo,0.1076
Bash / Shell Script,Mojo,0.1072
AWK,Zig,0.107
GDScript,Perl,0.1068
Nim,Ruby,0.1064
Apex,CFML (ColdFusion),0.106
C#,CFML (ColdFusion),0.1054
Objective-C,PowerShell,0.1049
Bash / Shell Script,"COBOL,",0.1047
Bash / Shell Script,SystemVerilog,0.1042
CUDA C/C++,PHP,0.104
C++,JavaScript,0.1028
Forth,Java,0.1024
AWK,C++,0.1023
"CommonLisp,",Nim,0.1019
Haskell,Perl,0.1014
CFML (ColdFusion),Scala,0.1008
Elixir,Nim,0.1003
Tcl,TypeScript,0.1
JavaScript,Verilog,0.1
C#,JavaScript,0.0991
"COBOL,",Perl,0.099
C++,Forth,0.0985
GDScript,Tcl,0.0985
Kotlin,Tcl,0.0981
Dart,Tcl,0.0977
AWK,D,0.0969
Clojure,Nim,0.0966
Perl,Rust,0.096
Forth,Rust,0.0958
C,Groovy,0.0948
Lua,Nim,0.0921
Bash / Shell Script,"SQL,",0.0917
OpenCL,Perl,0.0917
Perl,Swift,0.0914
AWK,Mojo,0.0899
Tcl,VBA,0.0899
"PL/SQL,",Rexx,0.0891
Nim,Scheme,0.089
Bash / Shell Script,Solidity,0.0889
AWK,OpenCL,0.0886
CFML (ColdFusion),"COBOL,",0.088
ABAP,CFML (ColdFusion),0.0877
Rexx,"Transact-SQL, (T-SQL,)",0.0873
CFML (ColdFusion),"PL/pgSQL,",0.0871
MQL5,Perl,0.0868
Perl,Zig,0.0864
Forth,Scala,0.0861
Forth,GDScript,0.0859
Perl,Solidity,0.0858
Dart,PHP,0.0852
C,Scheme,0.0851
Perl,X++,0.0851
OpenCL,Tcl,0.0833
AWK,CUDA C/C++,0.0821
Crystal,Tcl,0.0811
CFML (ColdFusion),Java,0.0804
AWK,Verilog,0.0803
Scala,Tcl,0.0801
AWK,MQL5,0.0799
Rust,Tcl,0.079
Dart,JavaScript,0.0772
Nim,Racket,0.077
CFML (ColdFusion),"Delphi (Object Pascal,)",0.0766
Apex,PHP,0.0766
C,Stata,0.0765
Bash / Shell Script,MQL5,0.0758
AWK,RPG,0.0753
"Fortran,",Perl,0.0752
Perl,TypeScript,0.075
Dart,Forth,0.0748
Forth,Swift,0.0732
Perl,PL/I,0.0732
CFML (ColdFusion),F#,0.073
Bash / Shell Script,CUDA C/C++,0.0725
Nim,Wolfram Language,0.0725
CFML (ColdFusion),Rust,0.0719
Forth,Go,0.0718
Apex,Tcl,0.0717
Julia,Nim,0.0715
PHP,Verilog,0.0712
Forth,VHDL,0.0712
Forth,Verilog,0.0708
Apex,JavaScript,0.0706
Erlang,Nim,0.0704
JavaScript,SystemVerilog,0.07
Assembly (x86),D,0.07
Forth,Solidity,0.0695
Bash / Shell Script,X++,0.0695
CFML (ColdFusion),OpenCL,0.0694
Assembly (x86),C++,0.0693
Assembly (x86),Mojo,0.0692
Assembly (x86),GDScript,0.0692
ABAP,Bash / Shell Script,0.069
MQL5,Tcl,0.0686
CFML (ColdFusion),Elm,0.0684
Elm,Perl,0.0682
OpenCL,PHP,0.0676
Bash / Shell Script,VBA,0.0673
Solidity,Tcl,0.067
"Fortran,",Tcl,0.0665
D,Rexx,0.0662
Mojo,PHP,0.0661
GDScript,PHP,0.0661
ABAP,Perl,0.066
Bash / Shell Script,Zig,0.066
C,GDScript,0.0659
C++,Rexx,0.0658
GDScript,Rexx,0.0658
ABAP,AWK,0.0658
Tcl,X++,0.0657
Mojo,Rexx,0.0657
JavaScript,Mojo,0.0656
GDScript,JavaScript,0.0656
F#,Perl,0.0655
PL/I,Rexx,0.0655
Ada 2022,CFML (ColdFusion),0.0654
CUDA C/C++,Perl,0.0654
CFML (ColdFusion),"Fortran,",0.0652
AWK,GDScript,0.065
AWK,OCaml,0.065
AWK,VBA,0.0649
Java,Perl,0.0649
AWK,Visual Basic .NET,0.0649
Forth,Kotlin,0.0648
CFML (ColdFusion),Crystal,0.0634
CUDA C/C++,JavaScript,0.0631
Haskell,Tcl,0.0627
Rexx,RPG,0.0625
Perl,SystemVerilog,0.0625
Lua,Objective-C,0.0625
Objective-C,Python,0.0622
PHP,Solidity,0.0622
Elm,PHP,0.0621
PHP,X++,0.062
CUDA C/C++,Tcl,0.0615
Objective-C,Ruby,0.0614
Java,PHP,0.0612
Forth,MQL5,0.0607
Tcl,Verilog,0.0604
Forth,OCaml,0.06
Nim,R,0.0598
C#,Forth,0.0591
Forth,SystemVerilog,0.0591
F#,Tcl,0.0589
AWK,Go,0.0589
Perl,VBA,0.0589
Perl,Visual Basic .NET,0.0589
Haxe,PHP,0.0587
ABAP,Forth,0.0586
MQL5,PHP,0.0584
JavaScript,X++,0.0579
Java,Tcl,0.0578
Nim,PowerShell,0.0571
"COBOL,",Tcl,0.0568
ABAP,Tcl,0.0563
SystemVerilog,Tcl,0.0562
C#,Tcl,0.0556
Swift,Tcl,0.0554
Forth,OpenCL,0.0552
F#,PHP,0.0552
Tcl,Visual Basic .NET,0.0547
PHP,"PL/pgSQL,",0.0547
JavaScript,Solidity,0.054
Elm,JavaScript,0.0539
CFML (ColdFusion),CUDA C/C++,0.0539
NATURAL,Perl,0.0539
Objective-C,Racket,0.0538
Go,Perl,0.0529
Haxe,JavaScript,0.0525
C,PowerShell,0.0518
Forth,X++,0.0517
Elm,Forth,0.0516
CFML (ColdFusion),NATURAL,0.0515
"COBOL,",Forth,0.0513
Nim,Smalltalk (Pharo),0.0511
PHP,TypeScript,0.051
Bash / Shell Script,Verilog,0.0508
CUDA C/C++,Forth,0.0504
Bash / Shell Script,Dart,0.0503
Forth,Zig,0.0498
JavaScript,TypeScript,0.0475
CFML (ColdFusion),"PL/SQL,",0.0473
Forth,TypeScript,0.0469
Haxe,Perl,0.0468
MATLAB,Nim,0.0462
PHP,Zig,0.0457
Rexx,VHDL,0.0454
Bash / Shell Script,Crystal,0.0452
Bash / Shell Script,Swift,0.0451
"Delphi (Object Pascal,)",Perl,0.045
Bash / Shell Script,Visual Basic .NET,0.0447
NATURAL,Rexx,0.0446
Rexx,Verilog,0.0445
Bash / Shell Script,Kotlin,0.0444
Apex,Perl,0.0443
Ada 2022,Perl,0.044
Ada 2022,AWK,0.0438
AWK,"Fortran,",0.0437
Assembly (x86),Elixir,0.0432
"CommonLisp,",Objective-C,0.0425
CFML (ColdFusion),SystemVerilog,0.0417
AWK,SystemVerilog,0.0417
AWK,"PL/SQL,",0.0417
"PL/pgSQL,",Rexx,0.0417
AWK,"Transact-SQL, (T-SQL,)",0.0417
Rexx,SystemVerilog,0.0417
AWK,TypeScript,0.0417
Forth,Haskell,0.041
C#,Perl,0.0406
Nim,Stata,0.0405
Haxe,Tcl,0.0405
NATURAL,PHP,0.0403
Bash / Shell Script,Rust,0.04
GraphQL,Rexx,0.0397
"Delphi (Object Pascal,)",Forth,0.0396
AWK,Solidity,0.0391
Crystal,Forth,0.0387
"PL/SQL,",Tcl,0.0387
PHP,Rust,0.0383
Objective-C,Wolfram Language,0.0383
Forth,Haxe,0.0376
"Delphi (Object Pascal,)",Tcl,0.0373
Bash / Shell Script,LabVIEW,0.0372
AWK,X++,0.0369
Elm,Tcl,0.0362
Tcl,"Transact-SQL, (T-SQL,)",0.036
"COBOL,",Rexx,0.0359
C,Erlang,0.0356
ABAP,Rexx,0.0356
Apex,Forth,0.0356
Ada 2022,Tcl,0.0355
Kotlin,Rexx,0.0353
Objective-C,SAS,0.0352
Crystal,PHP,0.0352
JavaScript,NATURAL,0.035
Java,JavaScript,0.035
CFML (ColdFusion),Swift,0.0349
CFML (ColdFusion),Go,0.0348
Bash / Shell Script,Go,0.0346
LabVIEW,Tcl,0.0346
CFML (ColdFusion),VBA,0.0345
CFML (ColdFusion),Visual Basic .NET,0.0345
C,Ruby,0.0345
CFML (ColdFusion),OCaml,0.0345
Bash / Shell Script,Scala,0.0345
Kotlin,PHP,0.0345
OCaml,Rexx,0.0345
"Fortran,",PHP,0.0343
LabVIEW,PHP,0.0342
JavaScript,Kotlin,0.0341
Forth,PL/I,0.0336
Perl,Verilog,0.0336
JavaScript,Rust,0.0332
AWK,C#,0.0326
ABAP,PHP,0.032
AWK,Dart,0.032
C,Wolfram Language,0.0319
AWK,"PL/pgSQL,",0.0312
PHP,SystemVerilog,0.0312
Forth,NATURAL,0.031
C,SAS,0.031
"Fortran,",JavaScript,0.0309
Assembly (x86),Erlang,0.0308
Crystal,JavaScript,0.0306
Bash / Shell Script,Java,0.03
Assembly (x86),Clojure,0.0299
F#,JavaScript,0.0298
JavaScript,LabVIEW,0.0297
NATURAL,Tcl,0.0292
Bash / Shell Script,Elm,0.0291
Go,PHP,0.0289
C,Lua,0.0289
C,MATLAB,0.0288
PHP,Scala,0.0288
Assembly (x86),Python,0.0284
JavaScript,Scala,0.0283
Crystal,Perl,0.0281
CFML (ColdFusion),PL/I,0.028
AWK,Rust,0.0279
Assembly (x86),Smalltalk (Pharo),0.0278
ABAP,JavaScript,0.0278
Apex,Rexx,0.0278
OCaml,Perl,0.0277
AWK,Kotlin,0.0272
Objective-C,R,0.0266
HCL (Terraform),PHP,0.0259
OCaml,Tcl,0.0256
Bash / Shell Script,TypeScript,0.025
OpenCL,Rexx,0.025
Bash / Shell Script,"PL/SQL,",0.0248
Bash / Shell Script,C#,0.0247
Rexx,Zig,0.0246
CFML (ColdFusion),Zig,0.0246
C,R,0.0245
Bash / Shell Script,F#,0.0243
LabVIEW,Rexx,0.0237
AWK,Scala,0.0235
Bash / Shell Script,"Transact-SQL, (T-SQL,)",0.0231
Ada 2022,Forth,0.0231
AWK,Java,0.0231
Forth,"Fortran,",0.023
HCL (Terraform),JavaScript,0.0225
JavaScript,OpenCL,0.0225
PL/I,Tcl,0.0222
Objective-C,Stata,0.0222
Bash / Shell Script,HCL (Terraform),0.0221
Clojure,Objective-C,0.0211
Nim,SAS,0.0202
Objective-C,Prolog,0.0195
Objective-C,Scheme,0.0192
Forth,HCL (Terraform),0.0185
AWK,F#,0.0184
Forth,VBA,0.0181
Forth,Visual Basic .NET,0.0181
Haskell,PHP,0.0166
Perl,RPG,0.016
"Delphi (Object Pascal,)",PHP,0.0154
C#,Rexx,0.0152
CFML (ColdFusion),Haskell,0.0151
Forth,LabVIEW,0.0147
Forth,"SQL,",0.0147
Haskell,JavaScript,0.0144
Bash / Shell Script,Haskell,0.0142
APL,Nim,0.0139
C,"CommonLisp,",0.0137
"Delphi (Object Pascal,)",JavaScript,0.0134
C,Clojure,0.0133
C,Smalltalk (Pharo),0.0124
C,Prolog,0.0123
PHP,"SQL,",0.0121
C,Racket,0.0118
AWK,Haskell,0.0114
CFML (ColdFusion),"SQL,",0.011
AWK,"Delphi (Object Pascal,)",0.0106
JavaScript,"SQL,",0.0105
AWK,Haxe,0.0105
CFML (ColdFusion),Verilog,0.0098
Bash / Shell Script,NATURAL,0.0092
Assembly (x86),Groovy,0.0092
AWK,Elm,0.0087
Forth,RPG,0.0086
Apex,AWK,0.0084
AWK,"SQL,",0.0083
Assembly (x86),Stata,0.0081
Assembly (x86),"CommonLisp,",0.0079
Assembly (x86),SAS,0.0077
Assembly (x86),Lua,0.0077
Assembly (x86),MATLAB,0.0075
Assembly (x86),R,0.0072
Assembly (x86),Prolog,0.0071
Assembly (x86),Scheme,0.007
Assembly (x86),Racket,0.0068
Assembly (x86),Q (kdb+),0.0067
Assembly (x86),Ruby,0.0064
Assembly (x86),Wolfram Language,0.0064
Haxe,Rexx,0.0063
MATLAB,Objective-C,0.0061
Assembly (x86),Julia,0.0061
PHP,RPG,0.006
Assembly (x86),PowerShell,0.0059
GAMS,Tcl,0.0059
CFML (ColdFusion),RPG,0.0055
Tcl,VHDL,0.0055
Objective-C,Q (kdb+),0.0054
JavaScript,RPG,0.0052
HiveQL (Apache Hive),Tcl,0.0051
Bash / Shell Script,RPG,0.0051
"COBOL,",PHP,0.0051
HCL (Terraform),Tcl,0.0051
Elixir,Objective-C,0.005
GraphQL,Tcl,0.0049
Julia,Objective-C,0.0049
"SQL,",Tcl,0.0047
Haskell,Rexx,0.0045
GAMS,PHP,0.0045
"COBOL,",JavaScript,0.0044
MQL5,Rexx,0.0042
Nim,Prolog,0.0042
CFML (ColdFusion),GAMS,0.0041
GAMS,Rexx,0.0041
PHP,VHDL,0.0041
"Delphi (Object Pascal,)",Rexx,0.0041
PHP,Swift,0.004
Nim,Q (kdb+),0.004
GAMS,JavaScript,0.0039
Bash / Shell Script,GAMS,0.0038
HiveQL (Apache Hive),PHP,0.0038
Crystal,Rexx,0.0038
CFML (ColdFusion),VHDL,0.0038
Rexx,Swift,0.0037
C,Python,0.0037
GraphQL,PHP,0.0037
F#,Rexx,0.0037
Go,Rexx,0.0036
CUDA C/C++,Rexx,0.0036
JavaScript,VHDL,0.0036
OCaml,PHP,0.0036
PHP,VBA,0.0035
PHP,Visual Basic .NET,0.0035
Rexx,Scala,0.0035
CFML (ColdFusion),HCL (Terraform),0.0035
HCL (Terraform),Rexx,0.0035
Bash / Shell Script,VHDL,0.0035
JavaScript,Swift,0.0035
JavaScript,Zig,0.0035
HiveQL (Apache Hive),Rexx,0.0035
CFML (ColdFusion),HiveQL (Apache Hive),0.0035
Elm,Rexx,0.0034
C,Q (kdb+),0.0034
Go,JavaScript,0.0034
GAMS,Perl,0.0033
HiveQL (Apache Hive),JavaScript,0.0033
CFML (ColdFusion),GraphQL,0.0033
Rexx,"SQL,",0.0033
PHP,PL/I,0.0033
Bash / Shell Script,HiveQL (Apache Hive),0.0033
Forth,GAMS,0.0032
C,Elixir,0.0032
Ada 2022,PHP,0.0032
GraphQL,JavaScript,0.0032
JavaScript,OCaml,0.0031
JavaScript,Visual Basic .NET,0.0031
AWK,GAMS,0.0031
Perl,VHDL,0.0031
Bash / Shell Script,GraphQL,0.0031
JavaScript,VBA,0.0031
C,Julia,0.0031
Rexx,Solidity,0.0031
Bash / Shell Script,OCaml,0.003
Java,Rexx,0.0029
Ada 2022,Rexx,0.0029
HCL (Terraform),Perl,0.0029
Rexx,Rust,0.0028
JavaScript,PL/I,0.0028
AWK,VHDL,0.0028
Bash / Shell Script,PL/I,0.0028
AWK,Crystal,0.0028
HiveQL (Apache Hive),Perl,0.0028
AWK,Swift,0.0028
CFML (ColdFusion),LabVIEW,0.0028
"Fortran,",Rexx,0.0028
Forth,HiveQL (Apache Hive),0.0027
Dart,Rexx,0.0027
Ada 2022,JavaScript,0.0027
Ada 2022,Bash / Shell Script,0.0027
Perl,"SQL,",0.0027
GraphQL,Perl,0.0027
AWK,HCL (Terraform),0.0026
AWK,HiveQL (Apache Hive),0.0026
Forth,GraphQL,0.0026
AWK,GraphQL,0.0025
LabVIEW,Perl,0.0023
Rexx,X++,0.0022
AWK,LabVIEW,0.0021
Rexx,TypeScript,0.0
CFML (ColdFusion),"Transact-SQL, (T-SQL,)",0.0
PHP,"Transact-SQL, (T-SQL,)",0.0
Forth,"Transact-SQL, (T-SQL,)",0.0
Forth,"PL/SQL,",0.0
RPG,Tcl,0.0
Forth,"PL/pgSQL,",0.0
JavaScript,"Transact-SQL, (T-SQL,)",0.0
Bash / Shell Script,"PL/pgSQL,",0.0
JavaScript,"PL/SQL,",0.0
JavaScript,"PL/pgSQL,",0.0
Perl,"PL/SQL,",0.0
Perl,"PL/pgSQL,",0.0
APL,Assembly (x86),0.0
APL,Objective-C,0.0
"PL/pgSQL,",Tcl,0.0
PHP,"PL/SQL,",0.0
Perl,"Transact-SQL, (T-SQL,)",0.0
APL,C,0.0
